# ELP29 — ELP2000-82B, component=2 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
0,0,0,1,-1,0.02199,3e-05
0,0,0,1,0,245.99067,1e-05
0,0,0,1,1,0.0053,1e-05
0,0,0,2,-3,0.42283,2e-05
0,0,0,2,-1,0.74505,1e-05
0,0,1,-1,-1,359.99982,1e-05
0,0,1,0,-1,359.99982,0.0001
0,0,1,0,1,359.99982,0.0001
0,0,1,1,1,359.99982,1e-05
0,2,0,-2,-1,179.98356,1e-05
0,2,0,-2,1,179.98353,1e-05
0,2,0,0,-1,179.99478,5e-05
