# ELP6 — ELP2000-82B, component=3 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
0,0,0,0,0,90.0,0.04301
0,0,0,0,1,180.0,3e-05
0,0,0,0,2,270.0,4e-05
0,0,0,1,-2,270.0,0.00444
0,0,0,1,0,90.0,0.00531
0,0,0,2,-2,90.0,0.00026
0,0,0,2,0,90.0,0.00042
0,0,0,2,2,270.0,4e-05
0,0,0,3,-2,270.0,2e-05
0,0,0,3,0,90.0,3e-05
0,0,1,-2,0,270.0,4e-05
0,0,1,-1,0,270.0,0.00037
0,0,1,0,0,90.0,9e-05
0,0,1,1,-2,270.0,5e-05
0,0,1,1,0,90.0,0.00017
0,0,1,2,0,90.0,2e-05
0,0,2,0,0,270.0,2e-05
0,1,-1,0,0,90.0,0.00012
0,1,0,-1,0,270.0,5e-05
0,1,0,0,0,90.0,0.00088
0,1,0,1,0,90.0,6e-05
0,1,1,-1,0,270.0,4e-05
0,1,1,0,0,90.0,0.00064
0,1,1,1,0,90.0,4e-05
0,2,-1,-1,0,270.0,0.00053
0,2,-1,1,-2,270.0,3e-05
0,2,0,-3,0,90.0,3e-05
0,2,0,-2,0,90.0,0.00082
0,2,0,-2,2,270.0,3e-05
0,2,0,-1,0,270.0,0.01961
0,2,0,-1,2,270.0,3e-05
0,2,0,0,-2,90.0,0.00021
0,2,0,0,0,270.0,0.00047
0,2,0,1,-2,270.0,0.00071
0,2,0,2,-2,270.0,5e-05
0,2,1,-1,0,90.0,8e-05
0,2,1,0,0,90.0,3e-05
0,2,2,-1,0,270.0,9e-05
0,4,-1,-1,0,270.0,2e-05
0,4,0,-2,0,270.0,0.00017
0,4,0,-1,0,270.0,0.00017
0,4,0,0,0,270.0,2e-05
1,-6,0,1,-1,90.00094,2e-05
1,-6,0,2,-1,90.0007,3e-05
1,-4,-1,1,-1,270.00094,3e-05
1,-4,0,-1,-1,90.00103,0.00012
1,-4,0,-1,1,270.00027,5e-05
1,-4,0,0,-1,90.00096,0.00075
1,-4,0,0,1,90.00086,0.0004
1,-4,0,1,-1,90.00079,0.00149
1,-4,0,1,1,90.00079,0.00027
1,-4,0,2,-1,90.00028,0.00046
1,-4,0,2,1,90.00067,8e-05
1,-4,1,0,-1,90.00095,0.0001
1,-4,1,0,1,90.00072,5e-05
1,-4,1,1,-1,90.00079,0.00017
1,-4,1,1,1,90.00072,2e-05
1,-4,1,2,-1,90.00029,4e-05
1,-3,0,0,-1,90.00092,8e-05
1,-3,0,0,1,270.00072,0.00018
1,-3,0,1,-1,270.00069,7e-05
1,-2,-2,1,-1,270.00024,2e-05
1,-2,-1,-1,-1,270.00109,0.00014
1,-2,-1,-1,1,90.00059,6e-05
1,-2,-1,0,-1,270.00097,0.00096
1,-2,-1,0,1,90.00072,0.00012
1,-2,-1,1,-1,270.00047,0.00044
1,-2,-1,1,1,90.00065,5e-05
1,-2,-1,2,-1,90.00072,2e-05
1,-2,0,-3,-1,90.00117,7e-05
1,-2,0,-3,1,270.00047,3e-05
1,-2,0,-2,-1,90.00113,0.0008
1,-2,0,-2,1,270.00044,0.00044
1,-2,0,-1,-1,90.00108,0.00925
1,-2,0,-1,1,270.00046,0.00617
1,-2,0,-1,3,90.00074,3e-05
1,-2,0,0,-1,90.00096,0.09554
1,-2,0,0,0,180.0,5e-05
1,-2,0,0,1,270.00079,0.00854
1,-2,0,1,-3,270.00088,3e-05
1,-2,0,1,-1,90.00028,0.03855
1,-2,0,1,1,270.0007,0.00785
1,-2,0,2,-3,270.0003,2e-05
1,-2,0,2,-1,90.00216,0.0028
1,-2,0,2,1,270.00071,0.0004
1,-2,0,3,-1,90.00159,0.00047
1,-2,0,3,1,270.00091,2e-05
1,-2,0,4,-1,90.00149,4e-05
1,-2,1,-2,-1,90.00112,7e-05
1,-2,1,-2,1,270.0005,2e-05
1,-2,1,-1,-1,90.00109,0.00069
1,-2,1,-1,1,270.00048,0.00028
1,-2,1,0,-1,90.00096,0.00657
1,-2,1,0,1,270.00077,0.00056
1,-2,1,1,-1,90.00029,0.0016
1,-2,1,1,1,270.00071,0.00029
1,-2,1,2,-1,90.00227,0.00011
1,-2,2,-1,-1,90.00094,3e-05
1,-2,2,0,-1,90.00095,0.00032
1,-2,2,0,1,270.00072,3e-05
1,-2,2,1,-1,90.0003,5e-05
1,-1,-1,-1,-1,90.00121,3e-05
1,-1,-1,0,-1,90.00107,0.00018
1,-1,-1,0,1,270.00052,4e-05
1,-1,0,-1,-1,270.00128,0.00018
1,-1,0,-1,1,270.00072,5e-05
1,-1,0,0,-1,270.00137,0.00063
1,-1,0,0,1,90.00068,0.00075
1,-1,0,1,-1,270.00123,0.00014
1,-1,0,1,1,90.00072,4e-05
1,-1,0,2,-1,270.00129,6e-05
1,-1,1,0,-1,269.99992,3e-05
1,0,-2,-1,-1,270.00137,2e-05
1,0,-2,1,-1,270.00115,6e-05
1,0,-1,-3,-1,270.00127,2e-05
1,0,-1,-2,-1,270.00134,0.00022
1,0,-1,-2,1,270.00073,3e-05
1,0,-1,-1,-1,270.0014,0.00181
1,0,-1,-1,1,90.00162,0.0001
1,0,-1,0,-1,90.00067,0.00028
1,0,-1,0,1,90.00087,0.00013
1,0,-1,1,-1,270.00118,0.00341
1,0,-1,1,1,270.0,3e-05
1,0,-1,2,-1,270.00121,0.00034
1,0,-1,3,-1,270.00127,3e-05
1,0,0,-4,-1,90.00128,0.0001
1,0,0,-3,-1,90.00128,0.0015
1,0,0,-3,1,270.0,6e-05
1,0,0,-2,-1,90.00128,0.02469
1,0,0,-2,1,90.00062,0.00485
1,0,0,-1,-1,90.00128,0.45276
1,0,0,-1,1,270.00061,0.08508
1,0,0,0,-3,90.00067,0.00012
1,0,0,0,-1,90.00001,0.02809
1,0,0,0,0,180.0,0.00025
1,0,0,0,1,90.0005,0.0039
1,0,0,1,-3,270.00037,0.00108
1,0,0,1,-1,270.00126,0.45648
1,0,0,1,1,90.00024,0.00025
1,0,0,2,-3,270.0028,4e-05
1,0,0,2,-1,270.00126,0.02488
1,0,0,2,1,90.0,2e-05
1,0,0,3,-1,270.00126,0.00153
1,0,0,3,1,270.0,2e-05
1,0,0,4,-1,270.00126,0.0001
1,0,1,-3,-1,90.00127,3e-05
1,0,1,-2,-1,90.00134,0.00027
1,0,1,-2,1,90.00072,5e-05
1,0,1,-1,-1,90.00143,0.00218
1,0,1,-1,1,270.00084,0.00025
1,0,1,0,-1,90.0008,0.00024
1,0,1,0,1,90.00064,0.00015
1,0,1,1,-1,90.00116,0.00279
1,0,1,2,-1,90.00121,0.00028
1,0,1,3,-1,90.00127,2e-05
1,0,2,-1,-1,90.00147,3e-05
1,0,2,1,-1,90.0012,3e-05
1,1,-1,0,-1,90.0008,2e-05
1,1,0,-2,-1,90.0018,3e-05
1,1,0,-1,-1,269.99953,6e-05
1,1,0,-1,1,90.00072,2e-05
1,1,0,0,-1,90.00088,0.00299
1,1,0,0,1,90.00051,2e-05
1,1,0,1,-1,90.00104,0.00031
1,1,0,2,-1,90.0009,2e-05
1,1,1,0,-1,270.00058,0.00059
1,1,1,1,-1,270.00085,5e-05
1,2,-2,-1,-1,270.00041,7e-05
1,2,-2,0,-1,270.00093,0.00036
1,2,-2,1,-1,270.00094,3e-05
1,2,-1,-2,-1,270.00281,8e-05
1,2,-1,-2,1,270.00059,3e-05
1,2,-1,-1,-1,270.00042,0.00218
1,2,-1,-1,1,270.00039,6e-05
1,2,-1,0,-1,270.00092,0.00745
1,2,-1,0,1,270.0,2e-05
1,2,-1,1,-1,270.00105,0.00075
1,2,-1,2,-1,270.00112,7e-05
1,2,0,-4,-1,270.00148,4e-05
1,2,0,-3,-1,270.00168,0.00042
1,2,0,-3,1,90.00024,6e-05
1,2,0,-2,-3,270.00122,2e-05
1,2,0,-2,-1,270.003,0.00177
1,2,0,-2,1,270.00064,0.00078
1,2,0,-1,-3,270.0012,0.00018
1,2,0,-1,-1,270.00043,0.05343
1,2,0,-1,1,270.00062,0.00059
1,2,0,0,-1,270.00092,0.10689
1,2,0,0,1,270.00095,2e-05
1,2,0,1,-3,90.00107,0.0001
1,2,0,1,-1,270.00105,0.00992
1,2,0,2,-1,270.00111,0.00084
1,2,0,3,-1,270.00115,7e-05
1,2,1,-2,-1,90.00072,2e-05
