# ELP6 — ELP2000-82B, component=3 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
1,2,1,-1,-1,90.00008,0.00016
1,2,1,0,-1,90.00092,0.00115
1,2,1,1,-1,90.00104,0.00016
1,2,2,-1,-1,90.00033,5e-05
1,3,0,-1,-1,90.0007,0.00012
1,3,0,0,-1,270.00096,7e-05
1,4,-1,-2,-1,270.00042,6e-05
1,4,-1,-1,-1,270.00078,0.0002
1,4,-1,0,-1,270.00093,0.00011
1,4,0,-2,-1,270.00042,0.00063
1,4,0,-1,-1,270.00078,0.00176
1,4,0,0,-1,270.00093,0.00084
1,4,0,1,-1,270.00105,0.00013
1,4,1,-1,-1,90.00094,3e-05
1,6,0,-2,-1,270.0007,3e-05
1,6,0,-1,-1,270.00094,2e-05
2,-2,0,-1,-2,270.0,5e-05
2,-2,0,-1,0,90.0,9e-05
2,-2,0,0,-2,270.0,0.00047
2,-2,0,0,0,90.0,4e-05
2,-2,0,1,-2,270.0,0.00019
2,-2,1,0,-2,270.0,4e-05
2,0,-1,0,0,90.0,2e-05
2,0,0,-2,-2,270.0,0.00012
2,0,0,-2,0,270.0,5e-05
2,0,0,-1,-2,270.0,0.00219
2,0,0,-1,0,90.0,0.00077
2,0,0,0,-2,270.0,0.00028
2,0,0,0,-1,0.0,3e-05
2,0,0,0,0,90.0,0.00448
2,0,0,1,-2,90.0,0.00223
2,0,0,1,0,90.0,0.0005
2,0,0,2,-2,90.0,0.00012
2,0,0,2,0,90.0,6e-05
2,1,0,0,-2,270.0,2e-05
2,1,0,0,0,90.0,3e-05
2,1,1,0,-2,90.0,4e-05
2,2,-1,0,-2,90.0,4e-05
2,2,0,-1,-2,90.0,0.00032
2,2,0,-1,0,90.0,9e-05
2,2,0,0,-2,90.0,0.00056
2,2,0,0,0,90.0,5e-05
2,2,0,1,-2,90.0,5e-05
