# ELP31 — ELP2000-82B, component=1 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
0,0,1,-1,0,179.93473,6e-05
0,0,1,0,0,179.98532,0.00081
0,0,1,1,0,179.96323,5e-05
0,1,0,0,0,1e-05,0.00013
0,1,1,0,0,180.02282,1e-05
0,2,-1,-1,0,0.02264,2e-05
0,2,0,-1,0,359.98826,2e-05
0,2,0,0,0,180.00019,0.00055
0,2,0,1,0,180.00017,6e-05
0,2,1,-1,0,180.74954,1e-05
0,4,0,-1,0,180.00035,1e-05
