# ELP30 — ELP2000-82B, component=3 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
0,0,0,0,0,90.0,0.0013
0,0,0,0,1,213.9572,3e-05
0,0,0,0,2,270.03745,2e-05
0,0,0,1,0,90.07597,4e-05
0,0,0,3,-2,270.43429,2e-05
0,0,1,-1,0,89.99919,0.00013
0,0,1,0,0,270.00007,0.00022
0,0,1,1,0,269.99903,0.00011
0,2,-1,-1,0,89.99815,2e-05
0,2,-1,0,0,90.00052,3e-05
0,2,0,-2,0,269.98585,5e-05
0,2,0,-1,0,89.99863,0.00013
0,2,1,-1,0,269.99982,2e-05
0,2,1,0,0,269.99982,3e-05
