# ELP33 — ELP2000-82B, component=3 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
0,0,0,0,0,270.0,0.00828
0,0,0,1,0,89.99994,0.00043
0,0,1,-1,0,269.93292,5e-05
0,0,1,0,0,270.00908,9e-05
0,0,1,1,0,89.95765,5e-05
0,1,0,0,0,270.00002,6e-05
0,2,-1,0,0,89.97071,2e-05
0,2,0,-1,0,269.99367,3e-05
0,2,0,0,0,90.00014,0.00106
0,2,0,1,0,90.0001,8e-05
