# ELP28 — ELP2000-82B, component=1 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
0,0,0,0,1,303.96185,4e-05
0,0,0,1,-1,259.88393,0.00016
0,0,0,2,-2,0.4302,0.0004
0,0,0,3,-2,0.43379,2e-05
0,0,1,-1,0,359.99858,0.00014
0,0,1,0,0,359.99982,0.00223
0,0,1,1,0,359.99961,0.00014
0,1,0,-1,0,359.99331,9e-05
0,1,0,0,0,359.99537,1e-05
0,1,1,-1,0,0.06418,3e-05
0,2,-1,-1,0,180.00095,4e-05
0,2,-1,0,0,180.00014,3e-05
0,2,0,-3,0,179.98126,1e-05
0,2,0,-2,0,179.98366,0.00025
0,2,0,-1,0,179.99638,0.00014
0,2,0,0,-2,179.95864,3e-05
0,2,0,0,0,179.99904,2e-05
0,2,1,-2,0,179.99184,2e-05
0,2,1,-1,0,0.00313,2e-05
0,2,1,0,0,359.99965,2e-05
