# ELP5 — ELP2000-82B, component=2 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
0,0,0,0,3,0.0,3e-05
0,0,0,1,-3,180.0,0.00021
0,0,0,1,-1,0.0,0.00056
0,0,0,1,1,0.0,0.00047
0,0,0,2,-3,0.0,4e-05
0,0,0,2,-1,180.0,0.00144
0,0,0,2,1,0.0,3e-05
0,0,0,3,-1,180.0,7e-05
0,0,1,-1,-1,180.0,2e-05
0,0,1,-1,1,180.0,2e-05
0,0,1,0,-1,180.0,4e-05
0,0,1,0,1,180.0,4e-05
0,0,1,1,-1,180.0,1e-05
0,0,1,1,1,180.0,2e-05
0,1,0,0,-1,180.0,4e-05
0,1,0,0,1,180.0,5e-05
0,1,1,-1,-1,0.0,1e-05
0,1,1,-1,1,0.0,1e-05
0,1,1,0,-1,180.0,3e-05
0,1,1,0,1,180.0,3e-05
0,2,-1,-1,-1,0.0,3e-05
0,2,-1,-1,1,0.0,4e-05
0,2,-1,0,-1,180.0,6e-05
0,2,0,-2,-1,180.0,5e-05
0,2,0,-2,1,180.0,0.00021
0,2,0,-1,-1,0.0,0.00126
0,2,0,-1,1,0.0,0.00108
0,2,0,0,-3,0.0,4e-05
0,2,0,0,-1,180.0,0.00217
0,2,0,0,1,0.0,0.00013
0,2,0,1,-3,0.0,3e-05
0,2,0,1,-1,180.0,8e-05
0,2,0,2,-1,180.0,2e-05
0,2,1,-1,-1,180.0,1e-05
0,2,1,0,-1,0.0,9e-05
0,2,2,0,-1,0.0,1e-05
0,4,0,-2,1,0.0,3e-05
0,4,0,-1,-1,0.0,1e-05
0,4,0,-1,1,0.0,2e-05
0,4,0,0,-1,180.0,1e-05
1,-6,0,0,0,0.00076,2e-05
1,-6,0,1,0,0.00075,5e-05
1,-6,0,2,0,0.00075,4e-05
1,-4,-1,0,0,180.00075,6e-05
1,-4,-1,1,0,180.00074,8e-05
1,-4,0,-2,0,0.00076,3e-05
1,-4,0,-1,-2,0.00095,2e-05
1,-4,0,-1,0,0.00075,0.00025
1,-4,0,-1,2,180.00046,1e-05
1,-4,0,0,-2,0.00094,9e-05
1,-4,0,0,0,0.00073,0.00188
1,-4,0,0,2,0.00072,9e-05
1,-4,0,1,-2,0.00083,0.00017
1,-4,0,1,0,0.00071,0.00322
1,-4,0,2,-2,0.00055,9e-05
1,-4,0,2,0,0.0007,0.00029
1,-4,1,-1,0,0.00075,3e-05
1,-4,1,0,-2,0.00094,1e-05
1,-4,1,0,0,0.00075,0.00021
1,-4,1,1,-2,0.00094,2e-05
1,-4,1,1,0,0.00072,0.00029
1,-4,1,2,-2,0.00093,1e-05
1,-4,1,2,0,0.00072,2e-05
1,-4,2,0,0,0.00072,1e-05
1,-4,2,1,0,0.00072,2e-05
1,-3,-1,0,0,0.00072,2e-05
1,-3,0,-1,0,180.00072,2e-05
