# ELP8 — ELP2000-82B, component=2 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
1,-2,0,0,0,180.0,0.00012
1,-2,0,1,0,180.0,3e-05
1,0,0,-1,-2,180.0,1e-05
1,0,0,-1,0,180.0,0.00019
1,0,0,0,-2,180.0,0.00014
1,0,0,0,0,0.0,0.00342
1,0,0,1,0,0.0,0.00018
1,0,0,2,0,0.0,1e-05
1,2,0,-1,0,0.0,4e-05
1,2,0,0,0,0.0,2e-05
2,0,0,0,-1,180.0,9e-05
