# ELP4 — ELP2000-82B, component=1 (1=longitude,2=latitude,3=distance)
# Source: same as ELP1-3, see elp1.csv. Phase: y = pha_deg*deg + sum_k(iz*zeta_k*T^k + sum_i ilu_i*del_i_k*T^k), value added is amplitude*sin(y).
# columns: iz = zeta multiplier; d,lp,l,f = Delaunay argument multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
iz,d,lp,l,f,phaDeg,amplitude
0,0,0,0,1,270.0,3e-05
0,0,0,0,2,0.0,0.00037
0,0,0,1,-2,180.0,0.0048
0,0,0,1,-1,90.0,1e-05
0,0,0,2,-2,0.0,0.00085
0,0,0,2,0,180.0,0.00025
0,0,0,3,-2,0.0,3e-05
0,0,0,3,0,180.0,2e-05
0,0,0,4,0,180.0,1e-05
0,0,1,-2,0,180.0,3e-05
0,0,1,-1,0,180.0,0.00048
0,0,1,-1,2,180.0,1e-05
0,0,1,0,0,180.0,0.00047
0,0,1,1,-2,180.0,5e-05
0,0,1,1,0,180.0,0.00019
0,0,1,2,0,180.0,1e-05
0,0,2,-1,0,180.0,3e-05
0,1,-1,-1,0,180.0,1e-05
0,1,-1,0,0,180.0,0.00015
0,1,-1,1,0,180.0,1e-05
0,1,0,-2,0,180.0,1e-05
0,1,0,-1,0,180.0,4e-05
0,1,0,0,-2,0.0,1e-05
0,1,0,0,0,180.0,0.001
0,1,0,1,0,180.0,6e-05
0,1,1,-1,0,0.0,0.00019
0,1,1,0,0,180.0,0.0007
0,1,1,1,0,180.0,5e-05
0,2,-1,-2,0,180.0,2e-05
0,2,-1,-1,0,0.0,0.00061
0,2,-1,0,-2,0.0,2e-05
0,2,-1,0,0,0.0,1e-05
0,2,-1,1,-2,0.0,4e-05
0,2,0,-3,2,180.0,1e-05
0,2,0,-2,0,180.0,0.00077
0,2,0,-2,2,0.0,6e-05
0,2,0,-1,-2,180.0,5e-05
0,2,0,-1,0,0.0,0.02206
0,2,0,0,-2,0.0,0.00064
0,2,0,0,0,0.0,0.00102
0,2,0,1,-2,0.0,0.00089
0,2,0,1,0,0.0,4e-05
0,2,0,2,-2,0.0,7e-05
0,2,1,-2,0,0.0,6e-05
0,2,1,-1,0,180.0,6e-05
0,2,1,0,-2,180.0,2e-05
0,2,1,0,0,180.0,1e-05
0,2,2,-1,0,0.0,9e-05
0,3,0,-1,0,180.0,1e-05
0,4,-1,-2,0,0.0,2e-05
0,4,-1,-1,0,0.0,2e-05
0,4,0,-2,0,0.0,0.00026
0,4,0,-1,-2,0.0,2e-05
0,4,0,-1,0,0.0,0.00019
0,4,0,0,-2,0.0,2e-05
0,4,0,0,0,0.0,2e-05
0,4,0,1,-2,0.0,1e-05
1,-6,0,0,-1,0.001,1e-05
1,-6,0,1,-1,0.001,3e-05
1,-6,0,2,-1,0.00068,3e-05
1,-6,0,3,-1,0.00036,1e-05
1,-4,-1,0,-1,180.00103,1e-05
1,-4,-1,1,-1,180.00081,2e-05
1,-4,-1,1,1,180.00072,2e-05
1,-4,0,-2,-1,0.00099,2e-05
1,-4,0,-2,1,180.0005,1e-05
1,-4,0,-1,-1,0.00109,0.00014
1,-4,0,-1,1,180.0005,9e-05
1,-4,0,0,-1,0.001,0.00075
1,-4,0,0,1,180.00017,0.00011
1,-4,0,1,-3,180.00093,2e-05
1,-4,0,1,-1,0.0008,0.00141
1,-4,0,1,1,0.00091,0.00022
1,-4,0,2,-3,180.00091,1e-05
1,-4,0,2,-1,0.00029,0.00065
